area_name,pucca,semi_Pucca,kutcha,latitude,longitude,LULC_Code,LULC_Description
Chikkanayakanahalli,97.2,2.8,0,13.4177165,76.6185142,50,Built-up
Kodathi,61.8,38,0.1,12.8881943,77.7159618,50,Built-up
Sulikunte,88.5,10.5,0.6,13.4991319,77.7294705,40,Cropland
Sub-Dist - Anekal,86.2,12.9,0.7,12.7090575,77.6992265,50,Built-up
Sub-Dist - Anekal,84.2,14.7,0.9,12.7090575,77.6992265,50,Built-up
Sub-Dist - Anekal,90.3,9.1,0.3,12.7090575,77.6992265,50,Built-up
Kannaikana Agrahara,62.3,34.2,2.9,12.84366,77.5532846,50,Built-up
Bilwaradahalli,89.3,10.1,0.7,12.824728,77.5676735,20,Shrubland
Bhoothanahalli,72.7,18.2,8.4,12.8057748,77.5582437,50,Built-up
Bannerughatta Kaval,99.6,0.4,0,12.7920788,77.5633748,20,Shrubland
Byrappanahalli,94.4,4.5,1.1,12.7867101,77.5691064,10,Tree cover
Bannerughatta,97.4,2.1,0.3,12.8129424,77.58053,50,Built-up
Gollahalli,42.6,2.1,0,12.8336587,77.6664976,40,Cropland
Kalkere,90.5,8.1,1,13.0334934,77.673888,50,Built-up
Vaderahalli,100,0,0,13.0958692,77.5375794,50,Built-up
Laxmipura,68.4,23.5,8.1,22.3312315,73.1368045,50,Built-up
Halesampigehalli,91.9,6.6,1.5,12.8104509,77.5918657,50,Built-up
Mantapa,79.6,20.4,0,,,,
Jangal Palya,97.7,2.3,0,12.8090323,77.5913482,50,Built-up
Begihalli,68.1,30.2,1.1,12.7898222,77.6049218,40,Cropland
Nallasandra,95.2,4.3,0.5,12.8011072,77.6049218,50,Built-up
Hullukasavanahalli,94.9,5.1,0,12.819652,77.6092188,40,Cropland
Sakalawara,94.2,5.8,0,12.8237617,77.6040597,10,Tree cover
Hullahalli,76.4,18.5,5,12.0976392,76.5560481,50,Built-up
Ramasandra,4.7,95.3,0,12.9378204,77.4694648,50,Built-up
Harapanahalli,66.8,28.9,4.3,14.7809865,75.9869609,50,Built-up
Bukkasagara,78.5,19.9,1.4,12.7731681,77.6106512,40,Cropland
Kalbalu,89.8,10,0.2,12.7694016,77.6223614,50,Built-up
Mahanthalingapura,68,19.2,12.7,12.7664553,77.6178125,50,Built-up
Ragihalli,85.4,11.7,2.9,12.7394086,77.5751958,50,Built-up
Shivanahalli,72.9,21.2,5.5,12.7234456,77.5751227,50,Built-up
Kadajakkanahalli,50,50,0,12.7374171,77.6337703,50,Built-up
Giddenahalli,76.2,22.8,0,12.9910718,77.4171237,10,Tree cover
J.Bingipura,100,0,0,12.7533625,77.6242574,10,Tree cover
Vaderamanchanahalli,89.2,4.6,5,12.7669972,77.6292697,10,Tree cover
Koppa,76,23.4,0,13.532658,75.3557927,10,Tree cover
Koppa Gate,85.7,13.8,0.5,12.7945296,77.614948,50,Built-up
S.Bingipura,79.9,18.7,1.4,12.8269128,77.6317289,50,Built-up
Hulimangala,88.3,11.7,0,12.8181898,77.6378619,50,Built-up
Thirupalya,97.5,2.4,0.1,12.8223684,77.6664976,50,Built-up
Yarandahalli,89.3,8.2,2.5,12.8112145,77.6693608,50,Built-up
Vabasandra,74.7,25.3,0,12.8145672,77.6507489,50,Built-up
Nanjapura,81.9,18.1,0,12.7970938,77.6392939,40,Cropland
Kyalasanahalli,81.9,17.7,0.3,13.0600731,77.6580084,10,Tree cover
Bande Nalla Sandra,96.6,2.8,0.6,12.7906494,77.6521807,60,Bare / sparse vegetation
Haragadde,87.2,12.5,0.3,12.7637802,77.6507489,50,Built-up
Mada Patna,97.2,2.8,0,12.7725318,77.6499455,50,Built-up
Konasandra,87.3,12,0.7,12.7586705,77.6321339,40,Cropland
Bommandahalli,73,24.1,0,12.750209,77.6321339,40,Cropland
Nosenur Gollahalli,74.1,25,0.9,12.741534,77.6459761,50,Built-up
Nosenur,76,21.7,0.4,12.7489379,77.650033,50,Built-up
Dyavasandra,90.8,8.5,0.8,12.7537051,77.6464534,60,Bare / sparse vegetation
Seethanaikana Halli,49.4,50.6,0,13.0041687,77.9417391,50,Built-up
Rajapura,82.7,16.8,0,12.7768839,77.6743712,50,Built-up
Masthena Halli,90.9,9.1,0,12.7864891,77.668645,20,Shrubland
Hinnakki,66.6,32.8,0.7,12.7772211,77.6815285,50,Built-up
Hennagara,95.2,4.4,0.3,12.7889092,77.6750869,40,Cropland
Hosahalli,81.8,18.2,0,13.5367865,77.2472507,50,Built-up
Kachanaikanahalli,93.4,6.4,0,12.8001179,77.6854582,50,Built-up
Ramakrishnapura,87.9,12.1,0,12.7824295,77.6947682,50,Built-up
Choodasandra,98.3,1.5,0,12.88563,77.6805328,50,Built-up
Rayasandra,77.9,20.5,1.1,12.8622826,77.6751531,50,Built-up
Sriramapura,67.7,31.5,0,12.2716479,76.6253865,30,Grassland
Gattahalli,73.7,26.3,0,12.8683625,77.7029183,50,Built-up
Janatha Colony,91.7,8.3,0,12.9087058,77.7008509,60,Bare / sparse vegetation
Chikkanagamangala,80.8,17,2.2,12.8600843,77.6959073,50,Built-up
Bhovi Palya (Shanthi Pur),87.7,12.1,0.1,12.8534402,77.6843781,50,Built-up
Gulimangala,42.6,56.2,1.1,12.8449614,77.6965573,10,Tree cover
Huskur,77.1,22.4,0,12.8581406,77.7065754,40,Cropland
Avalahalli,85.8,14.2,0,12.9456895,77.5440288,50,Built-up
Chokkasandra,75,25,0,13.0389508,77.515362,50,Built-up
Harohalli,97.1,2.9,0,12.6815831,77.4731876,50,Built-up
Kaggalipura,100,0,0,12.2751499,76.890797,10,Tree cover
Chintalmadivala,97.2,2.3,0.5,12.8457727,77.7137306,40,Cropland
Gottamaranahalli,100,0,0,12.8441583,77.7094375,20,Shrubland
Singena Agrahara,89.8,9.2,0.3,12.8344795,77.7137306,40,Cropland
Narayanaghatta,77,22.6,0.4,12.8364983,77.7266088,50,Built-up
Muthanallur,73.1,26,0.7,12.8318119,77.7350006,50,Built-up
Ali Bommasandra,76.3,23.7,0,12.8160884,77.7348946,50,Built-up
Muthanallur Amanikere,89.9,10.1,0,12.8230558,77.7409162,40,Cropland
Samanahalli,62.5,37.5,0,12.8329038,77.7477116,50,Built-up
Chikkathimmasandra,40,60,0,12.8451759,77.7435904,50,Built-up
Gopasandra,85.4,13.4,1.2,12.845136,77.7434537,50,Built-up
Kommasandra,92.2,7.8,0,12.8606511,77.7409912,50,Built-up
Thigala Chowdadenahalli,92,7.9,0,12.8832722,77.7523242,50,Built-up
Chikkavaderapura,93.8,0,6.2,12.8966148,77.7437775,40,Cropland
Heggondahalli,70.2,21.9,4,,,,
Halasahalli Thippasandra,63.1,36.9,0,12.9151812,77.7480692,20,Shrubland
Chikkanekkundi,74.2,24.9,0.5,12.9332179,77.7709558,50,Built-up
Nekkundi Dommasandra,56.6,39.8,3.1,12.9263558,77.7752465,10,Tree cover
Kathriguppe,22.9,73.2,3.9,12.9293653,77.5569265,50,Built-up
Ramnaikanahalli,72.3,27.7,0,12.9098211,77.7566806,50,Built-up
Chambenahalli,90.9,8.4,0.8,12.8830361,77.7602227,50,Built-up
Yamare,88,11.3,0.7,12.870523,77.7595131,30,Grassland
Sompura,81.7,12.7,5.6,12.8713766,77.7666865,50,Built-up
Kadagrahara,68.1,29.6,2.3,13.0706708,77.7105873,50,Built-up
B.Hosahalli,54.9,44.1,1,12.9227633,77.756772,50,Built-up
Bikkanahalli,50.9,44.8,3.8,12.8368056,77.7593143,50,Built-up
Sollepura,62.9,36.5,0.6,12.6080358,76.9902276,10,Tree cover
Handenahalli,78.4,20.5,1.1,12.825765,77.7668646,50,Built-up
Kotiganahalli,88.9,11.1,0,13.0730841,78.2219806,40,Cropland
S.Medihalli,89.2,8.6,2.2,12.8222466,77.7838274,30,Grassland
Tyayakana Halli,89.5,10.1,0.4,12.8276254,77.7781069,60,Bare / sparse vegetation
Adigarakallahalli,80.3,19.5,0,12.8215713,77.7995573,40,Cropland
Billapura,74.2,25.2,0.6,12.8393226,77.7866875,50,Built-up
Buragunte,81.3,18.2,0.5,12.8416097,77.7752465,60,Bare / sparse vegetation
Ittangur,90.5,8.8,0.7,12.8748183,77.7866781,50,Built-up
Volagerekallahalli,67.4,31.9,0.3,12.8892105,77.7738188,50,Built-up
Chikkadasarahalli,84.9,15.1,0,12.8927194,77.7809672,40,Cropland
Gonighattapura,60.5,39.5,0,12.9136431,77.7878799,50,Built-up
Neriga,89.6,10.1,0,12.9115545,77.7759616,50,Built-up
Janthagondanahalli,75.3,21.3,2.7,12.92407,77.7866875,50,Built-up
Nagen Agrahara,100,0,0,12.9220518,77.7888326,20,Shrubland
Seeganaikanahalli,64.3,35.7,0,13.1489682,77.553344,40,Cropland
Madappanahalli,63.6,36.4,0,13.1537852,77.5361462,50,Built-up
Deshapande Guttahalli,7.7,92.3,0,12.919631,77.8124255,10,Tree cover
Banahalli,71.6,26.5,2,12.9511075,78.0937171,40,Cropland
Mugalur,93.1,6.9,0,12.8935929,77.8220758,50,Built-up
Kugur,57.4,39.5,3.2,12.9110186,77.8095661,60,Bare / sparse vegetation
Kamanahalli,91.6,8.4,0,12.9079572,77.797055,50,Built-up
Kuthaganahalli,68.5,31.1,0.4,12.888969,77.8032331,50,Built-up
Doddathimmasandra,65,35,0,12.8794015,77.7981274,20,Shrubland
Thindlu,73.3,26.3,0.4,13.0714902,77.5689097,50,Built-up
Mahal Chowdadenahalli,78.3,20.8,0,12.872852,77.8084265,50,Built-up
Gudighattanahalli,58.3,41.7,0,12.8689474,77.8226098,60,Bare / sparse vegetation
Panditana Agrahara,83.2,15.8,1.1,12.8804754,77.8210036,40,Cropland
Mattanahalli,82.1,17.9,0,12.871761,77.8296051,50,Built-up
Gollahalli,97,2.8,0.1,12.8336587,77.6664976,40,Cropland
Veerasandra,94.5,2.2,2.7,12.7598571,77.4803345,50,Built-up
Kammasandra,96.1,3.2,0.4,12.834002,77.688267,50,Built-up
Vaddara Palya,94.6,2.8,2.5,12.8358959,77.7001385,40,Cropland
Andapura,94.4,5.3,0,12.8268143,77.7008509,10,Tree cover
Ramasagara,76.5,22.8,0.4,12.8221131,77.7208853,40,Cropland
Heelalige,91.5,8.5,0,12.818616,77.7065754,50,Built-up
Chandapura,89.1,10.6,0.3,12.8017099,77.7116112,50,Built-up
Chandrapura  -Chatrakane,95.1,3.8,1.1,12.8016811,77.7065754,50,Built-up
Kittaganahalli,79.8,19.8,0.3,12.8028665,77.6965621,60,Bare / sparse vegetation
Banahalli,88.4,11.3,0.3,12.9511075,78.0937171,40,Cropland
Iggalur,95.1,4.6,0.2,12.7831358,77.702282,40,Cropland
Thirumagondanahalli,80.9,18.4,0.7,12.7895871,77.7194544,50,Built-up
Balagaranahalli,96.4,3.1,0.3,12.785488,77.7373396,50,Built-up
Neralur,95,4.9,0.1,12.7950301,77.7301859,50,Built-up
Laxmi Sagara,71.4,28.2,0.4,12.8124354,77.725178,10,Tree cover
Bendiganahalli,97.8,2.2,0,13.0714221,77.7487845,40,Cropland
Adigondanahalli,60.1,38.9,0.3,12.8123014,77.7523608,60,Bare / sparse vegetation
Guddahatti,66.1,30.5,3.4,12.8033462,77.7423688,50,Built-up
Yadavanahalli,94.6,5.2,0.1,12.7897202,77.7523608,50,Built-up
Krishnasagara,68.8,29.4,1.8,12.7811193,77.7494998,60,Bare / sparse vegetation
Itchangur,86,14,0,12.7722512,77.7409162,40,Cropland
Muthasandra,30.2,68.2,1.6,12.9286464,77.7938376,60,Bare / sparse vegetation
Kamblipura,80.6,19.4,0,12.7595308,77.7431655,50,Built-up
Mayasandra,65.4,34.1,0.4,13.6405659,76.9729472,50,Built-up
M.Medihalli,41.4,58.6,0,12.7297975,77.7380549,40,Cropland
Halehalli,96.4,3.6,0,13.0346638,77.704174,50,Built-up
Kodlipura,60.5,38.9,0.5,12.740673,77.7595131,40,Cropland
Dasanapura,73.2,24.6,2.3,13.0700786,77.4291142,60,Bare / sparse vegetation
Bhaktipura,85.4,7.3,7.3,12.7541748,77.7616587,10,Tree cover
Arehalli,88,10.5,1.4,13.0461574,75.8075719,50,Built-up
Manchanahalli,88.1,11.6,0,12.5196633,76.4042404,10,Tree cover
Jigala,87.4,11.2,1.4,12.7971116,77.7595131,40,Cropland
Arenur,77.8,22.2,0,12.8105516,77.7752465,60,Bare / sparse vegetation
Bidaraguppe,86.9,11.6,1.3,12.8061961,77.7843605,50,Built-up
Chikkanahalli,86.8,13.2,0,12.7871594,77.7881176,40,Cropland
Indlabele,88.1,11.5,0.3,12.7905559,77.7777493,50,Built-up
Ballur,90.9,8.2,0.5,16.400358,75.5451379,20,Shrubland
Maranaikanahalli,80.1,19.3,0,13.1696114,77.643576,40,Cropland
Lingapura,50.6,48.8,0,12.7606957,77.6750869,40,Cropland
Soppahalli,97.5,2.5,0,12.7425624,77.6793813,40,Cropland
Kumbaranahalli,63.8,35.1,1.1,12.749108,77.661129,10,Tree cover
Suragajakkanahalli,82.6,17.4,0,12.7363832,77.6679292,40,Cropland
Sonnanayakanapura,85.3,14,0.7,12.7334728,77.6561875,50,Built-up
Adur,78.3,21,0.6,50.8348175,-0.3101263,40,Cropland
Thimmasandra,52.5,47.5,0,13.1670664,77.5762703,10,Tree cover
Chikkanahalli,47.8,52.2,0,12.7871594,77.7881176,40,Cropland
Indlawadi,77.8,21.6,0.4,12.7284696,77.638648,50,Built-up
Bagganadoddi,74.3,25.7,0,12.7226759,77.6163803,40,Cropland
Indlawadipura,48.1,51.9,0,12.7156256,77.6400763,50,Built-up
Thammanaikanahalli,66.7,33.1,0.2,12.6976017,77.64098,50,Built-up
Chikka Hosahalli,77.4,22.3,0.4,12.7048562,77.6445929,50,Built-up
Agasa Thimmanahalli,20,80,0,12.7120767,77.6607711,60,Bare / sparse vegetation
A Medihalli,61.5,38.5,0,12.7126142,77.6722239,40,Cropland
Gowrenahalli,72.7,26.8,0.2,12.7209395,77.6693608,40,Cropland
Honnakalasapura,73.1,25,1.9,12.7241628,77.6779499,40,Cropland
Sidihosakote,75.7,23.9,0.4,12.730072,77.6836756,40,Cropland
Kempavaderahalli,82.1,17.9,0,12.7359815,77.689401,60,Bare / sparse vegetation
Dodda Hagade,55.3,43.9,0.8,12.7472641,77.689401,50,Built-up
Kunmadivala,97,3,0,12.747533,77.695126,60,Bare / sparse vegetation
Byagadadenahalli,72.7,26.2,1.1,12.7524361,77.7019242,50,Built-up
Marasur,84.6,15.4,0,12.7662063,77.702282,40,Cropland
Naganaikanahalli,71.2,28.8,0,12.7659373,77.6965573,40,Cropland
Madivala,77.1,22,0.8,12.9226373,77.6174442,50,Built-up
Bandapura,93.1,6.4,0.4,13.044899,77.7383516,50,Built-up
Marasur Agrahara,100,0,0,12.7604283,77.7294705,40,Cropland
Thattanahalli,75.3,24.7,0,12.7390684,77.725178,40,Cropland
Avadadenahalli,84.7,15.3,0,12.7472304,77.7112263,50,Built-up
Kammasandra Agrahara,75.5,24.5,0,12.7393392,77.7008509,40,Cropland
Amani Doddakere,91.2,7.8,1,12.7283931,77.6929792,40,Cropland
Hasaruvani,100,0,0,12.7189254,77.6865383,10,Tree cover
Anekal (Rural),84.9,14.8,0.2,12.6995884,77.695126,40,Cropland
Chudenahalli,36.4,63.6,0,13.2105592,77.6264055,50,Built-up
Sunavara,66.4,33.2,0.4,12.7032507,77.6839846,40,Cropland
Patnagere Gollahalli,40,60,0,12.6846877,77.6779499,30,Grassland
Bidarakadahalli,100,0,0,13.0613596,77.7158771,50,Built-up
Kalanaikanahalli,49.4,49.4,1.1,12.6738131,77.6865383,30,Grassland
Solur,53.9,46.1,0,,,,
Menasiganahalli,41.7,58.3,0,12.5765097,77.296542,30,Grassland
Vanakanahalli,84,15.4,0.3,12.6724022,77.6940526,50,Built-up
Singasandra,48.6,48.6,2.9,12.8811382,77.6493839,50,Built-up
Telagarahalli,49,50.3,0.7,12.6866999,77.6908323,40,Cropland
Hompalaghatta,79.4,19.1,1.5,12.6928739,77.702282,40,Cropland
Gudnahalli,44.8,54.6,0,12.6826642,77.725178,20,Shrubland
Geratiganabele,38.6,60.9,0.5,12.6775583,77.7366242,10,Tree cover
Submangala,55.6,43.9,0.5,12.6942097,77.7309012,10,Tree cover
Muthagatti,77.2,22.2,0.2,12.6978387,77.7180235,60,Bare / sparse vegetation
Kurubarahatti,0,100,0,12.7061648,77.7151616,40,Cropland
Haldenahalli,93.9,5.8,0.3,12.7178492,77.708722,50,Built-up
Kaval Hosahalli,95.5,4.5,0,12.7226843,77.7065754,40,Cropland
Chikka Hagade,73.3,26.7,0,12.7323547,77.702282,40,Cropland
Aravantigepura,67.3,32.7,0,12.7371891,77.7151616,50,Built-up
Bestammanahalli,70.6,28.9,0.5,12.7303371,77.7269665,50,Built-up
Karpur,84.5,15.5,0,12.7260405,77.7180235,40,Cropland
Bidaragere,34.5,64,1.5,12.7108628,77.725178,40,Cropland
Rachamanahalli,57.6,39.1,3.3,12.7170379,77.7366242,50,Built-up
Channena Agrahara,35.6,64.4,0,12.7057566,77.7366242,40,Cropland
Samandur,76.9,22.1,0.6,12.7146822,77.7541489,50,Built-up
Dommasandra (CT),84,15.8,0.2,41.6032207,-73.087749,30,Grassland
Dommasandra (CT) - Ward No.1,84,15.8,0.2,12.8796531,77.7536195,50,Built-up
Hebbagodi (CT),96.7,3,0.1,12.8257264,77.6780035,50,Built-up
Hebbagodi (CT) - Ward No.1,96.7,3,0.1,12.8257264,77.6780035,50,Built-up
Maragondahalli (CT),85.3,12.8,0.6,41.6032207,-73.087749,30,Grassland
Maragondahalli (CT) - Ward No.1,85.3,12.8,0.6,12.8247842,77.6579077,50,Built-up
Bommasandra (CT),95.3,4.1,0.1,41.6032207,-73.087749,30,Grassland
Bommasandra (CT) - Ward No.1,95.3,4.1,0.1,12.8167303,77.6974369,50,Built-up
Sarjapura (CT),92.2,7.4,0.3,12.8575579,77.7864057,50,Built-up
Sarjapura (CT) - Ward No.1,92.2,7.4,0.3,12.8575579,77.7864057,50,Built-up
Attibele (CT),87.6,12.2,0.2,12.778963,77.7702029,50,Built-up
Attibele (CT) - Ward No.1,87.6,12.2,0.2,12.778963,77.7702029,50,Built-up
Jigani (CT),95.1,4.3,0.3,12.7791043,77.6435979,50,Built-up
Jigani (CT) - Ward No.1,95.1,4.3,0.3,12.7791043,77.6435979,50,Built-up
Anekal (TMC),84,15.2,0.6,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.1,58.3,36.5,4.2,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.2,85.7,14.1,0.2,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.3,81.1,18.9,0,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.4,96.1,3.8,0.2,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.5,100,0,0,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.6,99.8,0.2,0,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.7,97.7,2.3,0,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.8,97.9,1.8,0.1,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.9,90,6.5,3.5,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.10,90.1,9.6,0.3,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.11,89.8,9.8,0,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.12,87.1,12.7,0,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.13,82.6,17.2,0,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.14,63.8,36.2,0,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.15,65.8,32.9,1,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.16,85.7,14,0.3,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.17,86.8,13.2,0,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.18,61.9,37.1,0,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.19,31.2,67.4,1.1,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.20,76.4,22.6,0.4,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.21,90.2,9.5,0.3,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.22,72.6,25.7,1.4,12.7090575,77.6992265,50,Built-up
Anekal (TMC) - Ward No.23,77.9,21.6,0,12.7090575,77.6992265,50,Built-up
Sub-Dist - Area not under any Sub-district,94.3,4.8,0.6,,,,
Sub-Dist - Area not under any Sub-district,94.3,4.8,0.6,,,,
BBMP (M Corp. + OG),94.3,4.8,0.6,,,,
BBMP (M Corp. + OG) - Ward No.1,95.9,3.2,0.6,,,,
BBMP (M Corp. + OG) - Ward No.2,92,7,0.7,,,,
BBMP (M Corp. + OG) - Ward No.3,95.1,3.7,1.1,,,,
BBMP (M Corp. + OG) - Ward No.4,93.8,5.4,0.6,,,,
BBMP (M Corp. + OG) - Ward No.5,94.3,3.6,1.5,,,,
BBMP (M Corp. + OG) - Ward No.6,92.7,6,1.1,,,,
BBMP (M Corp. + OG) - Ward No.7,91.8,7.1,0.9,,,,
BBMP (M Corp. + OG) - Ward No.8,93,5.5,1.2,,,,
BBMP (M Corp. + OG) - Ward No.9,96.5,2.5,0.8,,,,
BBMP (M Corp. + OG) - Ward No.10,94.4,5.4,0.2,,,,
BBMP (M Corp. + OG) - Ward No.11,90.2,9,0.4,,,,
BBMP (M Corp. + OG) - Ward No.12,95.2,4.3,0.2,,,,
BBMP (M Corp. + OG) - Ward No.13,96.5,3.1,0.1,,,,
BBMP (M Corp. + OG) - Ward No.14,95.8,3.8,0.2,,,,
BBMP (M Corp. + OG) - Ward No.15,95.9,3.8,0.2,,,,
BBMP (M Corp. + OG) - Ward No.16,88.9,10.6,0.3,,,,
BBMP (M Corp. + OG) - Ward No.17,93.9,4.2,1.6,,,,
BBMP (M Corp. + OG) - Ward No.18,93.8,4.3,1.3,,,,
BBMP (M Corp. + OG) - Ward No.19,95.6,4,0.2,,,,
BBMP (M Corp. + OG) - Ward No.20,92.6,6.4,0.6,,,,
BBMP (M Corp. + OG) - Ward No.21,94.3,5.4,0.2,,,,
BBMP (M Corp. + OG) - Ward No.22,93.8,5.1,0.9,,,,
BBMP (M Corp. + OG) - Ward No.23,91.6,7.9,0.3,,,,
BBMP (M Corp. + OG) - Ward No.24,91.4,6.1,2.1,,,,
BBMP (M Corp. + OG) - Ward No.25,94.1,5.1,0.6,,,,
BBMP (M Corp. + OG) - Ward No.26,93.7,5.2,0.7,,,,
BBMP (M Corp. + OG) - Ward No.27,95.2,4.4,0.2,,,,
BBMP (M Corp. + OG) - Ward No.28,93.1,6.1,0.3,,,,
BBMP (M Corp. + OG) - Ward No.29,95.9,3.6,0.2,,,,
BBMP (M Corp. + OG) - Ward No.30,93.8,5.2,0.2,,,,
BBMP (M Corp. + OG) - Ward No.31,95.9,3.6,0.1,,,,
BBMP (M Corp. + OG) - Ward No.32,97.1,2.3,0.4,,,,
BBMP (M Corp. + OG) - Ward No.33,94.9,4.4,0.3,,,,
BBMP (M Corp. + OG) - Ward No.34,95.3,4.4,0.2,,,,
BBMP (M Corp. + OG) - Ward No.35,95.1,4.4,0.2,,,,
BBMP (M Corp. + OG) - Ward No.36,94.6,3.8,1,,,,
BBMP (M Corp. + OG) - Ward No.37,95.7,3.9,0.3,,,,
BBMP (M Corp. + OG) - Ward No.38,79,14.7,2.4,,,,
BBMP (M Corp. + OG) - Ward No.39,95.2,3,1.7,,,,
BBMP (M Corp. + OG) - Ward No.40,96.2,3.3,0.2,,,,
BBMP (M Corp. + OG) - Ward No.41,97.3,1.9,0.7,,,,
BBMP (M Corp. + OG) - Ward No.42,95.3,3.2,1.4,,,,
BBMP (M Corp. + OG) - Ward No.43,95.7,3.6,0.7,,,,
BBMP (M Corp. + OG) - Ward No.44,95.2,3.8,0.8,,,,
BBMP (M Corp. + OG) - Ward No.45,92.3,7.3,0.1,,,,
BBMP (M Corp. + OG) - Ward No.46,96.1,3.5,0.2,,,,
BBMP (M Corp. + OG) - Ward No.47,89.5,9.2,1.1,,,,
BBMP (M Corp. + OG) - Ward No.48,96.8,2.9,0.1,,,,
BBMP (M Corp. + OG) - Ward No.49,92,7.3,0.7,,,,
BBMP (M Corp. + OG) - Ward No.50,86.6,10.5,2.7,,,,
BBMP (M Corp. + OG) - Ward No.51,93.5,5.9,0.5,,,,
BBMP (M Corp. + OG) - Ward No.52,95.4,3.9,0.6,,,,
BBMP (M Corp. + OG) - Ward No.53,94.7,4.6,0.5,,,,
BBMP (M Corp. + OG) - Ward No.54,93.1,5.7,0.8,,,,
BBMP (M Corp. + OG) - Ward No.55,94.3,5.1,0.4,,,,
BBMP (M Corp. + OG) - Ward No.56,94,4.5,1.4,,,,
BBMP (M Corp. + OG) - Ward No.57,91.3,4.2,2.6,,,,
BBMP (M Corp. + OG) - Ward No.58,94.4,2.6,2.8,,,,
BBMP (M Corp. + OG) - Ward No.59,94.2,5.3,0.4,,,,
BBMP (M Corp. + OG) - Ward No.60,90.3,8.4,1.2,,,,
BBMP (M Corp. + OG) - Ward No.61,91.6,6.9,0.5,,,,
BBMP (M Corp. + OG) - Ward No.62,92.6,6.2,1.1,,,,
BBMP (M Corp. + OG) - Ward No.63,89.4,9.1,1.5,,,,
BBMP (M Corp. + OG) - Ward No.64,95.8,4,0.1,,,,
BBMP (M Corp. + OG) - Ward No.65,98.5,1.3,0.1,,,,
BBMP (M Corp. + OG) - Ward No.66,97.5,2.1,0.2,,,,
BBMP (M Corp. + OG) - Ward No.67,96.2,3.6,0.1,,,,
BBMP (M Corp. + OG) - Ward No.68,96.8,2.9,0.1,,,,
BBMP (M Corp. + OG) - Ward No.69,95.1,3.7,1,,,,
BBMP (M Corp. + OG) - Ward No.70,94,3.9,0.8,,,,
BBMP (M Corp. + OG) - Ward No.71,93.5,5.7,0.7,,,,
BBMP (M Corp. + OG) - Ward No.72,96,2.3,0.4,,,,
BBMP (M Corp. + OG) - Ward No.73,95.3,3.5,1,,,,
BBMP (M Corp. + OG) - Ward No.74,89.8,9.5,0.3,,,,
BBMP (M Corp. + OG) - Ward No.75,94.5,4.2,0.3,,,,
BBMP (M Corp. + OG) - Ward No.76,98.5,1.2,0,,,,
BBMP (M Corp. + OG) - Ward No.77,93.3,6.1,0.2,,,,
BBMP (M Corp. + OG) - Ward No.78,92.5,7.2,0.1,,,,
BBMP (M Corp. + OG) - Ward No.79,84.3,14.2,1,,,,
BBMP (M Corp. + OG) - Ward No.80,90.8,8.6,0.5,,,,
BBMP (M Corp. + OG) - Ward No.81,95.3,3.6,0.9,,,,
BBMP (M Corp. + OG) - Ward No.82,92.4,6.4,1.1,,,,
BBMP (M Corp. + OG) - Ward No.83,91.2,7.7,0.9,,,,
BBMP (M Corp. + OG) - Ward No.84,92.5,6.5,0.8,,,,
BBMP (M Corp. + OG) - Ward No.85,93.4,5.9,0.4,,,,
BBMP (M Corp. + OG) - Ward No.86,92.7,6.1,0.4,,,,
BBMP (M Corp. + OG) - Ward No.87,96.2,3.3,0.4,,,,
BBMP (M Corp. + OG) - Ward No.88,88.9,10.4,0.5,,,,
BBMP (M Corp. + OG) - Ward No.89,94.1,5.5,0.1,,,,
BBMP (M Corp. + OG) - Ward No.90,92.9,6.7,0.3,,,,
BBMP (M Corp. + OG) - Ward No.91,92.6,6.6,0.5,,,,
BBMP (M Corp. + OG) - Ward No.92,95,4.7,0.1,,,,
BBMP (M Corp. + OG) - Ward No.93,97.3,1.7,1,,,,
BBMP (M Corp. + OG) - Ward No.94,87.4,10,0.4,,,,
